iter	RMSE
197	0.2601484581
198	0.260004503
199	0.2599271795
200	0.2598547091
201	0.2597994405
202	0.2597228586
203	0.2595863431
204	0.2594745096
205	0.2593977757
206	0.2592555859
207	0.2591728835
208	0.25909777
209	0.2589741825
210	0.2588950972
211	0.2587796999
212	0.2587060969
213	0.2585750948
214	0.2585160008
215	0.258441701
216	0.2583344543
217	0.2582170061
218	0.2581088673
219	0.2579998408
220	0.2579291223
221	0.2578328755
222	0.2576921149
223	0.2576284434
224	0.2574997123
225	0.2574235666
226	0.2573050336
227	0.2572508276
228	0.2571476841
229	0.2570619114
230	0.2569792949
231	0.2569089905
232	0.2567922322
233	0.2566890504
234	0.2566002519
235	0.2564844172
236	0.2564155427
237	0.2563012691
238	0.2561729483
239	0.2560930992
240	0.2559994544
241	0.2558893912
242	0.2558115723
243	0.2557481549
244	0.2556130291
245	0.2555540396
246	0.2555019819
247	0.2554170494
248	0.255331901
249	0.2552886711
250	0.2552198329
251	0.2551021583
252	0.2549789112
253	0.2548662307
254	0.2548031878
255	0.2547056237
256	0.2546382905
257	0.2545443362
258	0.2544549566
259	0.254321222
260	0.2542679952
261	0.2542164517
262	0.2541527403
263	0.2541069788
264	0.253992852
265	0.2538973839
266	0.2538303475
267	0.2537505653
268	0.2536639052
269	0.2536009778
270	0.2535329584
271	0.2534582074
272	0.2534111645
273	0.2532528314
274	0.2531772517
275	0.2530955763
276	0.2530479606
277	0.2529220649
278	0.2528476648
279	0.252731788
280	0.252672171
281	0.2525934566
282	0.2524995794
283	0.2524326439
284	0.2523622206
285	0.2522035256
286	0.252110605
287	0.2520037031
288	0.2519439275
289	0.2518455298
290	0.2517382994
291	0.2516481943
292	0.2515544474
293	0.2514656202
294	0.2513646004
295	0.2512856561
296	0.2512199836
297	0.2511402188
298	0.2510802734
299	0.2510331977
300	0.2508954726
301	0.2508166391
302	0.2507677779
303	0.2506552775
304	0.250601253
305	0.2505295621
306	0.25048248
307	0.2504022922
308	0.2503263647
309	0.2502448902
310	0.2500750747
311	0.2500320649
312	0.2499776102
313	0.2499290428
314	0.2498520699
315	0.2497816615
316	0.2497188281
317	0.2496280376
318	0.2495304697
319	0.2494792802
320	0.2494249251
321	0.2493633575
322	0.24926319
323	0.2491838989
324	0.2491253376
325	0.2490312567
326	0.2489973915
327	0.2489226351
328	0.2488157872
329	0.2487794918
330	0.2486949069
331	0.2486242367
332	0.2485900213
333	0.2485286978
334	0.2484676173
335	0.2484143586
336	0.2483678011
337	0.2483083705
338	0.2482646197
339	0.2481736034
340	0.2480417891
341	0.247971838
342	0.2479004147
343	0.2477409765
344	0.247655713
345	0.247618666
346	0.2475157065
347	0.2474714905
348	0.2473993909
349	0.2472952659
350	0.2472270647
351	0.2471414715
352	0.2470482798
353	0.2470115987
354	0.2469141017
355	0.2468813883
356	0.2468217914
357	0.2467298031
358	0.2466091554
359	0.2465496945
360	0.2464464288
361	0.2463749089
362	0.246237262
363	0.2461522877
364	0.246052482
365	0.24592021
366	0.2458821682
367	0.2457829378
368	0.2457396897
369	0.2457020554
370	0.245618268
371	0.2455802277
372	0.2454979882
373	0.2454171966
374	0.2453669789
375	0.245302334
376	0.2452387042
377	0.2451607568
378	0.2451052146
379	0.2450484613
380	0.2449760548
381	0.2449387896
382	0.2448149807
383	0.2447515579
384	0.2446779701
385	0.2446188766
386	0.2445761119
387	0.2445079608
388	0.2444689838
389	0.2444205876
390	0.2443010962
391	0.2442677489
392	0.244211969
393	0.244093958
394	0.2440065569
395	0.2439378529
396	0.2438957568
397	0.2438354805
398	0.2437542677
399	0.2436713044
400	0.2436153444
401	0.2435468486
402	0.2434755646
403	0.2434471606
404	0.2433908517
405	0.2432987173
406	0.2432415409
407	0.2432032305
408	0.2431433398
409	0.2430779066
410	0.2430218421
411	0.2429621669
412	0.2428197471
413	0.2427655315
414	0.2426575731
415	0.2425690704
416	0.242463833
417	0.2423706867
418	0.242308121
419	0.2422112308
420	0.2421786392
421	0.2421447554
422	0.2420877494
423	0.2419877322
424	0.2419621696
425	0.2419106493
426	0.241810512
427	0.2417459638
428	0.2416528542
429	0.2415858514
430	0.2415105886
431	0.2414402827
432	0.2413642259
433	0.2413324648
434	0.2412762453
435	0.2411891723
436	0.2411427518
437	0.2410957003
438	0.2410233615
439	0.2409836538
440	0.2409455181
441	0.2408262203
442	0.2407776062
443	0.240696209
444	0.2405802378
445	0.2404956617
446	0.2404633505
447	0.2403796598
448	0.2403192603
449	0.2402639361
450	0.2402240127
451	0.2401797322
452	0.2401239644
453	0.2400154215
454	0.239984408
455	0.239904727
456	0.2398038836
457	0.2397691763
458	0.2397396305
459	0.2396567911
460	0.2396101694
461	0.2395590534
462	0.2394902894
463	0.2394339236
464	0.2393706098
465	0.2393072635
466	0.2392711346
467	0.2391823132
468	0.2390890685
469	0.2390459403
470	0.2389874196
471	0.2389316995
472	0.2388823001
473	0.2387726473
474	0.2387177377
475	0.2386492402
476	0.2386193587
477	0.2385543068
478	0.2385015461
479	0.238453196
480	0.2383716306
481	0.238327627
482	0.2382667415
483	0.2381995172
484	0.2381390656
485	0.2380516665
486	0.2379949356
487	0.2379272502
488	0.2378758448
489	0.2378207981
490	0.2377483253
491	0.2376680896
492	0.2376248473
493	0.2375208
494	0.2374423039
495	0.2374030479
496	0.2373437908
497	0.237303665
498	0.2372103661
499	0.2371605459
500	0.2371010292
501	0.2370378875
502	0.2369920892
503	0.2369455614
504	0.2368623736
505	0.2367888948
506	0.2367193246
507	0.2366659735
508	0.2365915017
509	0.2365542287
510	0.2365128032
511	0.2364752622
512	0.2364507342
513	0.2363735788
514	0.2363247959
515	0.2362850817
516	0.2362318802
517	0.2361583016
518	0.2361049877
519	0.2360531139
520	0.2360062398
521	0.2359586129
522	0.2358948591
523	0.2358602086
524	0.2357986172
525	0.2357570109
526	0.2357037033
527	0.2356694383
528	0.2356159522
529	0.2355521578
530	0.235467269
531	0.2354058416
532	0.2353082309
533	0.2352920454
534	0.2352233149
535	0.2351814599
536	0.2351007196
537	0.2350251368
538	0.2349990401
539	0.2349483205
540	0.2348802688
541	0.2348269127
542	0.234786388
543	0.2347187823
544	0.2346891982
545	0.2346526091
546	0.2345864803
547	0.2345217237
548	0.2345047338
549	0.2344645803
550	0.2343661084
551	0.2343209896
552	0.2342731589
553	0.2341935481
554	0.2341497291
555	0.2341057963
556	0.2340743787
557	0.2340125469
558	0.2339567883
559	0.2339023121
560	0.2338622316
561	0.233809298
562	0.2337778044
563	0.233733221
564	0.233710055
565	0.2336709263
566	0.2336352311
567	0.2335929723
568	0.2335352486
569	0.2334960102
570	0.2334132778
571	0.2333611254
572	0.2332924263
573	0.2332297819
574	0.2331946376
575	0.2331236029
576	0.2330636199
577	0.233041485
578	0.2329834662
579	0.2329458869
580	0.2329282266
581	0.2328303322
582	0.2327814678
583	0.2327579161
584	0.232719501
585	0.2326734641
586	0.2326409718
587	0.2326044466
588	0.2325518709
589	0.2324874501
590	0.2324589553
591	0.2324129416
592	0.2323665326
593	0.2323272652
594	0.2322629484
595	0.2322426948
596	0.2321769827
597	0.2321116223
598	0.2320780902
599	0.2320266416
600	0.2319857085
601	0.2319214027
602	0.2318638064
